Drug1:	Serdemetan							
Drug2:	Gemcitabine							
Cell:	PANC-1							
ConcUnit:	nM							
	0	1	3	10	30	100	300	1000
0	100	101.20001	89.2306833333333	77.2898566666667	74.25168	53.9369773333333	57.0547566666667	61.2596533333333
1000	93.9580193307797	95.393	84.6871133333333	74.2841166666667	70.1834166666667	57.5166986666667	59.6348133333333	57.56694
3000	94.5324241078681	90.8616933333333	77.61717	69.3140933333333	66.1408566666667	48.6754896666667	52.1236066666667	53.53607
4000	89.4830965038932	87.44352	69.12223	61.7185766666667	64.88787	48.1578266666667	50.7011266666667	53.42191
5500	75.5613095027003	80.7223433333333	71.1572333333333	58.6505466666667	62.2009566666667	46.9220673333333	56.3486133333333	57.16055
7000	70.3844464375808	65.79783	56.30964	50.81602	53.6846366666667	42.7381203333333	47.0205666666667	47.2938333333333
8500	62.0138116479279	56.9096066666667	51.7546266666667	42.7342266666667	46.9477666666667	34.9477726666667	42.43303	41.8949066666667
10000	47.5501755080217	41.4881033333333	35.8351066666667	30.3808166666667	34.73618	30.8390883333333	38.86603	38.66487
Drug1:	BMS-387032							
Drug2:	Gemcitabine							
Cell:	PANC-1							
ConcUnit:	nM							
	0	1	3	10	30	100	300	1000
0	100	95.622195	100.473285	52.883045	52.11465	45.17443	45.931525	53.091615
10	85.3894300949018	91.452325	92.134855	62.51243	60.606825	51.801245	58.43828	60.76378
30	79.6634378048099	84.513455	82.09803	65.551185	62.31502	52.19306	57.0879	55.71267
100	68.1149306840787	65.621445	68.52171	56.74901	52.717015	48.047985	46.35946	54.012435
150	56.2472556379135	44.573325	50.675115	41.778545	41.39406	40.88872	44.00017	49.19491
300	24.9358251635891	20.521015	22.703395	18.03167	19.36528	19.669515	19.25339	22.18652
500	15.3996848904742	16.850795	17.377125	15.88776	17.020145	15.21287	14.620265	18.68623
1000	18.1266227307217	15.71648	17.885245	21.073185	16.761645	16.472825	18.955845	19.635235
Drug1:	Ciclopirox							
Drug2:	Gemcitabine							
Cell:	PANC-1							
ConcUnit:	nM							
	0	1	3	10	30	100	300	1000
0	100	95.9702295	109.08876	88.1099805	75.794845	46.887475	47.076019	50.94903
300	89.149039978912	89.748667	89.189125	76.3479435	60.219585	46.20175	49.231806	53.102615
500	93.2771076064988	77.4348165	102.376605	82.361304	50.10746	34.4752305	42.8758075	21.947655
750	71.0827595010839	67.8665085	72.325845	46.756704	55.61522	44.4536915	39.584164	42.179045
1000	67.5715948394892	56.6233855	63.19102	54.955166	48.2824	38.9041115	30.9519265	32.925295
1500	47.0317494758479	32.791276	36.057395	36.8345415	24.793505	23.0468065	28.2302985	35.666165
2000	23.824083532399	14.248038	14.973585	8.673241	13.72675	14.513567	12.9245465	16.085205
3000	18.928532488415	21.637193	17.89862	13.1628235	11.6692	9.235231	12.080332	17.662035
Drug1:	Racecadotril							
Drug2:	Gemcitabine							
Cell:	PANC-1							
ConcUnit:	nM							
	0	1	3	10	30	100	300	1000
0	100	99.76401	74.06358	73.209665	67.046725	57.639165	63.483405	60.96178
10	102.199525079	97.83252	77.131135	70.659215	65.497985	59.194315	64.4784	60.13389
30	106.991646769132	99.500795	79.074885	67.21675	67.0813	55.339615	58.528605	54.60798
100	99.916746403821	96.105815	72.390465	64.70965	59.595405	54.549285	51.977295	51.833525
300	94.3744035884743	95.10937	66.52699	63.05476	54.661655	51.724485	51.992115	56.595465
1000	96.4291419713058	95.55236	68.174895	60.725395	57.14745	52.32392	47.193195	55.12354
3000	88.1704265671265	92.547105	61.513545	56.00671	46.07881	45.504255	52.08664	49.0278
10000	91.8642266890815	93.079495	67.77844	51.11991	43.833795	46.414305	51.23155	45.89929
Drug1:	Teniposide							
Drug2:	Gemcitabine							
Cell:	PANC-1							
ConcUnit:	nM							
	0	1	3	10	30	100	300	1000
0	100	96.5000745	95.526983	73.928028	57.2746855	47.451095	37.8433105	39.594735
10	95.0356132443191	92.5163295	94.170068	73.673973	64.8667175	54.19672	45.604812	51.1546255
